记录类型,学年,学期,课程或考试名称,课程性质,学分,绩点,成绩
课程,2023-2024学年,第1学期,劳动教育与实践（理论）,-,0.0,,75
课程,2023-2024学年,第1学期,大学生心理健康教育,必修,0.5,4.5,优秀
课程,2023-2024学年,第1学期,大学英语（2）,必修,2.0,2.8,75
课程,2023-2024学年,第1学期,高级语言程序设计,必修,3.5,4.5,94
课程,2023-2024学年,第1学期,军事理论,必修,2.0,4.0,89
课程,2023-2024学年,第1学期,体能训练（1）,必修,0.5,2.8,75
课程,2023-2024学年,第1学期,信息学科概论,必修,2.0,4.0,85
课程,2023-2024学年,第1学期,中国近现代史纲要,必修,3.0,3.5,83
课程,2023-2024学年,第1学期,大学生涯导论,公选,0.5,4.0,87
课程,2023-2024学年,第1学期,国家安全学,公选,1.0,4.0,85
课程,2023-2024学年,第1学期,高等数学A（1）,类必,2.0,5.0,98
课程,2023-2024学年,第1学期,高等数学A（2）,类必,3.0,5.0,100
课程,2023-2024学年,第1学期,工程认知实践,类践,0.5,4.5,优秀
课程,2023-2024学年,第1学期,初级英语口语,通践,1.0,5.0,95
课程,2023-2024学年,第1学期,高级语言程序设计实验,通践,1.0,4.5,91
课程,2023-2024学年,第1学期,计算机基础训练,通践,0.5,1.5,67
课程,2023-2024学年,第1学期,军事训练,通践,2.0,3.5,良好
课程,2023-2024学年,第2学期,大学英语（3）,必修,2.0,2.0,71
课程,2023-2024学年,第2学期,思想道德与法治,必修,3.0,4.5,90
课程,2023-2024学年,第2学期,体能训练（2）,必修,0.5,2.0,70
课程,2023-2024学年,第2学期,习近平新时代中国特色社会主义思想概论,必修,3.0,3.0,79
课程,2023-2024学年,第2学期,形势与政策（1）,必修,0.5,3.0,合格
课程,2023-2024学年,第2学期,古典诗词创作,公选,2.0,4.5,94
课程,2023-2024学年,第2学期,中国文化词和热词翻译,公选,2.0,5.0,99
课程,2023-2024学年,第2学期,大学物理 B（1）,类必,3.5,5.0,95
课程,2023-2024学年,第2学期,高等数学A（3）,类必,3.0,5.0,99
课程,2023-2024学年,第2学期,高等数学A（4）,类必,3.0,4.5,92
课程,2023-2024学年,第2学期,离散数学,类必,3.0,4.5,92
课程,2023-2024学年,第2学期,数据结构,类必,3.0,3.0,81
课程,2023-2024学年,第2学期,认识实习,类践,1.0,4.5,优秀
课程,2023-2024学年,第2学期,数据结构实验,类践,0.5,5.0,100
课程,2023-2024学年,第2学期,物理实验（1）,类践,1.0,4.5,90
课程,2023-2024学年,第2学期,高级英语口语,通践,1.0,4.5,93
课程,2024-2025学年,第1学期,大学英语（4）,必修,2.0,2.8,77
课程,2024-2025学年,第1学期,马克思主义基本原理,必修,3.0,3.5,83
课程,2024-2025学年,第1学期,乒乓球（3）,必修,0.5,4.0,85
课程,2024-2025学年,第1学期,了不起的世界文明,公选,2.0,5.0,95
课程,2024-2025学年,第1学期,生成式人工智能工具实战,公选,2.0,5.0,99
课程,2024-2025学年,第1学期,大学物理 B（2）,类必,3.0,4.0,88
课程,2024-2025学年,第1学期,电路与数字系统,类必,3.5,4.5,92
课程,2024-2025学年,第1学期,概率论与数理统计,类必,2.5,5.0,99
课程,2024-2025学年,第1学期,计算机组成原理,类必,2.5,4.0,86
课程,2024-2025学年,第1学期,线性代数,类必,2.0,5.0,95
课程,2024-2025学年,第1学期,电路与数字系统实验,类践,1.0,4.0,89
课程,2024-2025学年,第1学期,计算机系统课程设计,类践,2.0,4.5,93
课程,2024-2025学年,第1学期,物理实验（2）,类践,1.0,5.0,96
课程,2024-2025学年,第1学期,程序设计综合实践,实践,3.0,3.5,84
课程,2024-2025学年,第2学期,毛泽东思想和中国特色社会主义理论体系概论,必修,3.0,3.0,80
课程,2024-2025学年,第2学期,网球（4）,必修,0.5,4.0,86
课程,2024-2025学年,第2学期,形势与政策（2）,必修,0.5,3.0,合格
课程,2024-2025学年,第2学期,现代设计艺术鉴赏,公选,2.0,5.0,95
课程,2024-2025学年,第2学期,操作系统,类必,3.0,4.0,88
课程,2024-2025学年,第2学期,计算机网络,类必,3.0,3.0,81
课程,2024-2025学年,第2学期,人工智能基础,类必,3.0,4.0,85
课程,2024-2025学年,第2学期,数据库原理,类必,3.0,3.0,80
课程,2024-2025学年,第2学期,操作系统课程设计,类践,2.0,5.0,97
课程,2024-2025学年,第2学期,计算机网络实验,类践,1.0,4.5,91
课程,2025-2026学年,第1学期,网球（5）,必修,0.5,3.0,80
